"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker21"	"OTU_98 Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae NA NA"	"Нет"	3.12898480940117	0.018231747771928	0.018231747771928
"marker22"	"OTU_221 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Blautia NA"	"Нет"	3.01536092750148	0.0328299527450351	0.0328299527450351
"marker23"	"OTU_81 Bacteria Bacteroidota Bacteroidia Bacteroidales Bacteroidaceae Bacteroides NA"	"Нет"	2.93080612228214	0.0299607232866207	0.0299607232866207
"marker24"	"OTU_124 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae UCG-002 NA"	"Нет"	2.81833646584412	0.0325264315759686	0.0325264315759686
"marker25"	"OTU_205 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Tyzzerella NA"	"Нет"	2.78880170987709	0.0413391203256098	0.0413391203256098
"marker26"	"OTU_304 Bacteria Firmicutes Bacilli RF39 NA NA NA"	"Нет"	2.56193195867465	0.0441432040346766	0.0441432040346766
"marker27"	"OTU_256 Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae Christensenellaceae R-7 group NA"	"Нет"	2.54203905986266	0.0299973040612084	0.0299973040612084
"marker28"	"OTU_338 Bacteria Firmicutes Clostridia NA NA NA NA"	"Нет"	2.51043746867991	0.0370185883757469	0.0370185883757469
"marker29"	"OTU_305 Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Parabacteroides distasonis"	"Нет"	2.48650924958701	0.0225598182035623	0.0225598182035623
"marker30"	"OTU_399 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Eisenbergiella tayi"	"Нет"	2.385046369294	0.00782553884113389	0.00782553884113389
"marker31"	"OTU_420 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Sellimonas NA"	"Нет"	2.36884992854085	0.0188244169924355	0.0188244169924355
"marker32"	"OTU_348 Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Oscillibacter NA"	"Нет"	2.36023023852391	0.0297218194923913	0.0297218194923913
"marker33"	"OTU_496 Bacteria Firmicutes Clostridia Clostridia UCG-014 NA NA NA"	"Нет"	2.29629786936853	0.0228210675472034	0.0228210675472034
"marker34"	"OTU_193 Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA"	"Нет"	2.26552435691361	0.0170102989820428	0.0170102989820428
"marker35"	"OTU_454 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae UC5-1-2E3 NA"	"Нет"	2.25035548033464	0.0213237449601011	0.0213237449601011
"marker36"	"OTU_337 Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae Christensenellaceae R-7 group NA"	"Нет"	2.15528539138349	0.0195452377812208	0.0195452377812208
"marker37"	"OTU_257 Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Bilophila wadsworthia"	"Нет"	2.10564162894495	0.0444251066485472	0.0444251066485472
"marker38"	"OTU_586 Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lactonifactor NA"	"Нет"	2.09730600574942	0.0188244169924355	0.0188244169924355
"marker39"	"OTU_564 Bacteria Firmicutes Bacilli Izemoplasmatales NA NA NA"	"Нет"	2.03453725406844	0.0269969612532561	0.0269969612532561
