,Current names,Old names,New ones,Feature description,group
181,OTU_187,,Oscillospiraceae/NA/NA/OTU_187,Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae NA NA,microbiome
182,OTU_190,,Prevotellaceae/Prevotella_9/NA/OTU_190,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae Prevotella_9 NA,microbiome
183,OTU_193,,Anaerovoracaceae Family XIII/AD3011 group/NA/OTU_193,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA,microbiome
184,OTU_195,,Ruminococcus champanellensis ,Bacteria Firmicutes Clostridia Oscillospirales Ruminococcaceae Ruminococcus champanellensis,microbiome
185,OTU_196,,Prevotellaceae/NA/NA/OTU_196,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae NA NA,microbiome
186,OTU_197,,Oscillospirales [Eubacterium] coprostanoligenes group/NA/NA/OTU_197,Bacteria Firmicutes Clostridia Oscillospirales [Eubacterium] coprostanoligenes group NA NA,microbiome
187,OTU_20,,Oscillospiraceae UCG-002/NA/OTU_20,Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae UCG-002 NA,microbiome
188,OTU_210,,Coriobacteriales Incertae Sedis/NA/NA/OTU_210,Bacteria Actinobacteriota Coriobacteriia Coriobacteriales Coriobacteriales Incertae Sedis NA NA,microbiome
189,OTU_230,,Oscillospirales [Eubacterium] coprostanoligenes group/NA/NA/OTU_230,Bacteria Firmicutes Clostridia Oscillospirales [Eubacterium] coprostanoligenes group NA NA,microbiome
190,OTU_239,,Lachnospiraceae/Marvinbryantia/NA/OTU_239,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Marvinbryantia NA,microbiome
191,OTU_241,,NA/NA/NA/OTU_241, Bacteria Firmicutes Clostridia Clostridia UCG-014 NA NA NA,microbiome
192,OTU_25,,Lachnospiraceae [Ruminococcus]/torques group/NA/OTU_25,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Ruminococcus] torques group NA,microbiome
193,OTU_256,,Christensenellaceae/R-7 group/NA/OTU_256,Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae Christensenellaceae R-7 group NA,microbiome
194,OTU_257,,Desulfovibrionaceae/Bilophila/wadsworthia/OTU_257,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Bilophila wadsworthia,microbiome
195,OTU_305,,Tannerellaceae/Parabacteroides/distasonis/OTU_305,Bacteria Bacteroidota Bacteroidia Bacteroidales Tannerellaceae Parabacteroides distasonis,microbiome
196,OTU_312,,Lachnospiraceae/Blautia/NA/OTU_312,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Blautia NA,microbiome
197,OTU_33,,Muribaculaceae/NA/NA/OTU_33,Bacteria Bacteroidota Bacteroidia Bacteroidales Muribaculaceae NA NA,microbiome
198,OTU_337,,Christensenellaceae/R-7 group/NA/OTU_337,Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae Christensenellaceae R-7 group NA,microbiome
199,OTU_338,,NA/NA/NA/OTU_338,Bacteria Firmicutes Clostridia NA NA NA NA,microbiome
200,OTU_34,,Lachnospiraceae/Coprococcus comes/OTU_34,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Coprococcus comes,microbiome
201,OTU_354,,Lachnospiraceae [Eubacterium]/hallii group/NA/OTU_354,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Eubacterium] hallii group NA,microbiome
202,OTU_359,,Lachnospiraceae/NA/NA/OTU_359,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA NA,microbiome
203,OTU_396,,Lachnospiraceae/NA/NA/OTU_396,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae NA NA,microbiome
204,OTU_399,,Lachnospiraceae/Eisenbergiella/tayi/OTU_399,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Eisenbergiella tayi,microbiome
205,OTU_402,,Anaerovoracaceae Family XIII/AD3011 group/NA/OTU_402,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA,microbiome
206,OTU_420,,Lachnospiraceae/Sellimonas/NA/OTU_420,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Sellimonas NA,microbiome
207,OTU_439,,Lachnospiraceae/Lachnoclostridium/NA/OTU_439,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Lachnoclostridium NA,microbiome
208,OTU_44,,Lachnospiraceae/Dorea/NA/OTU_44,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Dorea NA,microbiome
209,OTU_454,,Lachnospiraceae/UC5-1-2E3/NA/OTU_454,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae UC5-1-2E3 NA,microbiome
210,OTU_459,,Lactobacillaceae/Lactobacillus/NA/OTU_459,Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus NA,microbiome
211,OTU_496,,NA/NA/NA/OTU_496,Bacteria Firmicutes Clostridia Clostridia UCG-014 NA NA NA,microbiome
212,OTU_51,,Methanobacteriaceae/Methanosphaera/NA/OTU_51,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanosphaera NA,microbiome
213,OTU_529,,Anaerovoracaceae Family XIII/AD3011 group/NA/OTU_529,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Anaerovoracaceae Family XIII AD3011 group NA,microbiome
214,OTU_587,,Prevotellaceae/NA/NA/OTU_587,Bacteria Bacteroidota Bacteroidia Bacteroidales Prevotellaceae NA NA,microbiome
215,OTU_609,,NA/NA/NA/OTU_609,Bacteria Firmicutes Bacilli RF39 NA NA NA,microbiome
216,OTU_677,,Oscillospiraceae/Colidextribacter/NA/OTU_677,Bacteria Firmicutes Clostridia Oscillospirales Oscillospiraceae Colidextribacter NA,microbiome
217,OTU_68,,Lachnospira eligens,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae [Eubacterium] eligens group NA,microbiome
218,OTU_712,,Christensenellaceae/Christensenellaceae R-7 group/NA/OTU_712,Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae Christensenellaceae R-7 group NA,microbiome
219,OTU_76,,Oscillospirales [Eubacterium] coprostanoligenes group/NA/NA/OTU_76,Bacteria Firmicutes Clostridia Oscillospirales [Eubacterium] coprostanoligenes group NA NA,microbiome
220,OTU_77,,Intestinibacter bartlettii,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Intestinibacter bartlettii,microbiome
221,OTU_79,,Butyricicoccus faecihominis,Bacteria Firmicutes Clostridia Oscillospirales Butyricicoccaceae Butyricicoccus faecihominis,microbiome
222,OTU_84,,Lachnospiraceae/Roseburia/NA/OTU_84,Bacteria Firmicutes Clostridia Lachnospirales Lachnospiraceae Roseburia NA,microbiome
223,OTU_98,,Christensenellaceae/NA/NA/OTU_98,Bacteria Firmicutes Clostridia Christensenellales Christensenellaceae NA NA,microbiome
